ID,MODULATION
0,QPSK
1,QPSK
2,8PSK
3,QPSK
4,QPSK
5,8PSK
6,8PSK
7,8PSK
8,8PSK
9,QPSK
10,QPSK
11,QPSK
12,QPSK
13,QPSK
14,8PSK
15,QPSK
16,QPSK
17,QPSK
18,8PSK
19,QPSK
20,QPSK
21,8PSK
22,QPSK
23,QPSK
24,8PSK
25,8PSK
26,QPSK
27,QPSK
28,QPSK
29,QPSK
30,8PSK
31,8PSK
32,8PSK
33,QPSK
34,8PSK
35,QPSK
36,QPSK
37,8PSK
38,QPSK
39,QPSK
40,8PSK
41,8PSK
42,QPSK
43,QPSK
44,QPSK
45,8PSK
46,QPSK
47,QPSK
48,QPSK
49,QPSK
50,QPSK
51,QPSK
52,QPSK
53,8PSK
54,8PSK
55,8PSK
56,QPSK
57,8PSK
58,QPSK
59,QPSK
60,QPSK
61,QPSK
62,8PSK
63,QPSK
64,8PSK
65,8PSK
66,QPSK
67,QPSK
68,8PSK
69,8PSK
70,8PSK
71,QPSK
72,QPSK
73,8PSK
74,QPSK
75,QPSK
76,QPSK
77,8PSK
78,8PSK
79,QPSK
80,QPSK
81,QPSK
82,QPSK
83,QPSK
84,QPSK
85,QPSK
86,8PSK
87,8PSK
88,QPSK
89,QPSK
90,QPSK
91,QPSK
92,QPSK
93,QPSK
94,8PSK
95,QPSK
96,QPSK
97,QPSK
98,QPSK
99,QPSK
100,QPSK
101,QPSK
102,QPSK
103,QPSK
104,QPSK
105,QPSK
106,8PSK
107,QPSK
108,QPSK
109,QPSK
110,QPSK
111,8PSK
112,QPSK
113,QPSK
114,8PSK
115,8PSK
116,QPSK
117,QPSK
118,QPSK
119,QPSK
120,QPSK
121,8PSK
122,QPSK
123,QPSK
124,QPSK
125,8PSK
126,QPSK
127,QPSK
128,QPSK
129,QPSK
130,8PSK
131,QPSK
132,8PSK
133,QPSK
134,QPSK
135,QPSK
136,QPSK
137,8PSK
138,QPSK
139,8PSK
140,QPSK
141,QPSK
142,8PSK
143,QPSK
144,8PSK
145,QPSK
146,QPSK
147,QPSK
148,QPSK
149,QPSK
150,QPSK
151,QPSK
152,QPSK
153,QPSK
154,QPSK
155,8PSK
156,QPSK
157,QPSK
158,8PSK
159,QPSK
160,8PSK
161,QPSK
162,QPSK
163,QPSK
164,QPSK
165,QPSK
166,8PSK
167,8PSK
168,QPSK
169,QPSK
170,8PSK
171,8PSK
172,8PSK
173,QPSK
174,QPSK
175,QPSK
176,QPSK
177,QPSK
178,8PSK
179,8PSK
180,QPSK
181,QPSK
182,8PSK
183,QPSK
184,8PSK
185,QPSK
186,QPSK
187,QPSK
188,8PSK
189,8PSK
190,QPSK
191,QPSK
192,QPSK
193,8PSK
194,QPSK
195,QPSK
196,8PSK
197,8PSK
198,QPSK
199,8PSK
200,QPSK
201,8PSK
202,QPSK
203,QPSK
204,8PSK
205,8PSK
206,QPSK
207,8PSK
208,QPSK
209,QPSK
210,QPSK
211,QPSK
212,QPSK
213,QPSK
214,QPSK
215,8PSK
216,8PSK
217,QPSK
